2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.96
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.97
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.97
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:53 - Gesture: two_up, Confidence: 0.97
2025-04-20 22:11:53 - Gesture: two_up, Confidence: 0.96
2025-04-20 22:11:53 - Gesture: two_up, Confidence: 0.96
2025-04-20 22:11:53 - Gesture: two_up, Confidence: 0.96
2025-04-20 22:11:53 - Gesture: two_up, Confidence: 0.95
2025-04-20 22:11:54 - Gesture: two_up, Confidence: 0.95
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.76
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.79
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.80
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.81
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.83
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.83
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.85
2025-04-20 22:11:54 - Gesture: two_up_inverted, Confidence: 0.90
2025-04-20 22:11:55 - Gesture: call, Confidence: 0.79
2025-04-20 22:11:55 - Gesture: two_up_inverted, Confidence: 0.80
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.88
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.89
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.90
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.90
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.91
2025-04-20 22:11:58 - Gesture: like, Confidence: 0.95
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.96
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.96
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.96
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.97
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.98
2025-04-20 22:11:59 - Gesture: like, Confidence: 0.98
2025-04-20 22:12:00 - Gesture: like, Confidence: 0.98
2025-04-20 22:12:01 - Gesture: like, Confidence: 0.70
2025-04-20 22:12:01 - Gesture: call, Confidence: 1.00
2025-04-20 22:12:01 - Gesture: call, Confidence: 1.00
2025-04-20 22:12:01 - Gesture: call, Confidence: 1.00
2025-04-20 22:12:01 - Gesture: call, Confidence: 1.00
2025-04-20 22:12:01 - Gesture: call, Confidence: 1.00
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:02 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:03 - Gesture: call, Confidence: 0.99
2025-04-20 22:12:03 - Gesture: call, Confidence: 0.98
2025-04-20 22:12:03 - Gesture: stop, Confidence: 0.98
2025-04-20 22:12:03 - Gesture: stop, Confidence: 0.86
2025-04-20 22:12:03 - Gesture: stop, Confidence: 0.86
2025-04-20 22:12:03 - Gesture: stop, Confidence: 0.86
2025-04-20 22:12:03 - Gesture: stop, Confidence: 0.86
2025-04-20 22:12:04 - Gesture: stop, Confidence: 0.86
2025-04-20 22:12:04 - Gesture: peace_inverted, Confidence: 0.73
2025-04-20 22:12:07 - Gesture: stop, Confidence: 0.72
2025-04-23 12:09:02 - Gesture: like, Confidence: 1.00
2025-04-23 12:09:03 - Gesture: stop, Confidence: 0.94
2025-04-23 12:09:03 - Gesture: stop, Confidence: 0.95
2025-04-23 12:09:03 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:03 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.97
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.97
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.93
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.93
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.92
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.91
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.91
2025-04-23 12:09:04 - Gesture: stop, Confidence: 0.89
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.96
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.96
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.96
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.96
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.96
2025-04-23 12:09:05 - Gesture: fist, Confidence: 0.99
2025-04-23 12:09:05 - Gesture: stop, Confidence: 0.94
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.95
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.95
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.96
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.97
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:06 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:07 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:07 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:07 - Gesture: stop, Confidence: 0.98
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:07 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:08 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:08 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:08 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:08 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:09 - Gesture: fist, Confidence: 1.00
2025-04-23 12:09:09 - Gesture: fist, Confidence: 1.00
